"Local", "PIB per capita"
"Acari", 9764.51
"Açu", 15307.96
"Afonso Bezerra", 6685.12
"Água Nova", 7569.83
"Alexandria", 8144.23
"Almino Afonso", 7016.66
"Alto do Rodrigues", 32027.80
"Angicos", 9013.97
"Antônio Martins", 6369.44
"Apodi", 11691.55
"Areia Branca", 24205.18
"Arês", 15916.83
"Augusto Severo", 7649.56
"Baía Formosa", 15692.96
"Baraúna", 20991.01
"Barcelona", 7513.98
"Bento Fernandes", 7356.76
"Bodó", 15174.27
"Bom Jesus", 7035.88
"Brejinho", 9702.15
"Caiçara do Norte", 7521.72
"Caiçara do Rio do Vento", 8679.24
"Caicó", 15122.09
"Campo Redondo", 6235.85
"Canguaretama", 11755.11
"Caraúbas", 12748.54
"Carnaúba dos Dantas", 9687.80
"Carnaubais", 13780.53
"Ceará-Mirim", 9994.77
"Cerro Corá", 8738.26
"Coronel Ezequiel", 7432.71
"Coronel João Pessoa", 7259.15
"Cruzeta", 10485.41
"Currais Novos", 14042.61
"Doutor Severiano", 6721.99
"Parnamirim", 18966.93
"Encanto", 6605.44
"Equador", 10250.05
"Espírito Santo", 5838.60
"Extremoz", 10872.03
"Felipe Guerra", 12363.46
"Fernando Pedroza", 7750.61
"Florânia", 8948.61
"Francisco Dantas", 7999.01
"Frutuoso Gomes", 8153.60
"Galinhos", 27161.10
"Goianinha", 11731.15
"Governador Dix-Sept Rosado", 15323.24
"Grossos", 12543.77
"Guamaré", 85163.34
"Ielmo Marinho", 7204.24
"Ipanguaçu", 8015.94
"Ipueira", 9867.25
"Itajá", 8709.86
"Itaú", 7469.44
"Jaçanã", 6235.16
"Jandaíra", 8738.50
"Janduís", 9823.44
"Januário Cicco", 6014.11
"Japi", 6546.85
"Jardim de Angicos", 8942.03
"Jardim de Piranhas", 9356.60
"Jardim do Seridó", 11989.25
"João Câmara", 22230.29
"João Dias", 6878.66
"José da Penha", 7448.53
"Jucurutu", 9472.43
"Jundiá", 7108.35
"Lagoa d'Anta", 7024.11
"Lagoa de Pedras", 7578.38
"Lagoa de Velhos", 10931.13
"Lagoa Nova", 8369.04
"Lagoa Salgada", 7039.73
"Lajes", 8986.31
"Lajes Pintadas", 7863.50
"Lucrécia", 10174.79
"Luís Gomes", 6238.43
"Macaíba", 18110.53
"Macau", 25300.87
"Major Sales", 8483.67
"Marcelino Vieira", 6915.22
"Martins", 7811.14
"Maxaranguape", 8294.57
"Messias Targino", 14486.01
"Montanhas", 6955.34
"Monte Alegre", 8005.43
"Monte das Gameleiras", 8874.28
"Mossoró", 20983.80
"Natal", 24029.17
"Nísia Floresta", 12557.94
"Nova Cruz", 10973.47
"Olho d'Água do Borges", 7702.81
"Ouro Branco", 8434.45
"Paraná", 7099.09
"Paraú", 8393.95
"Parazinho", 43640.73
"Parelhas", 14625.24
"Rio do Fogo", 10312.76
"Passa e Fica", 7866.87
"Passagem", 8653.50
"Patu", 8387.53
"Santa Maria", 10875.29
"Pau dos Ferros", 13451.82
"Pedra Grande", 43294.53
"Pedra Preta", 9015.96
"Pedro Avelino", 7428.72
"Pedro Velho", 7401.48
"Pendências", 19011.24
"Pilões", 8539.74
"Poço Branco", 6168.78
"Portalegre", 6831.93
"Porto do Mangue", 20958.91
"Serra Caiada", 6844.58
"Pureza", 7587.94
"Rafael Fernandes", 7633.82
"Rafael Godeiro", 7389.74
"Riacho da Cruz", 7568.80
"Riacho de Santana", 7301.28
"Riachuelo", 7116.46
"Rodolfo Fernandes", 7467.84
"Tibau", 21549.19
"Ruy Barbosa", 7632.38
"Santa Cruz", 10623.23
"Santana do Matos", 8715.69
"Santana do Seridó", 11980.31
"Santo Antônio", 7978.87
"São Bento do Norte", 26428.86
"São Bento do Trairí", 8077.25
"São Fernando", 14505.45
"São Francisco do Oeste", 7563.71
"São Gonçalo do Amarante", 15833.31
"São João do Sabugi", 8331.91
"São José de Mipibu", 16044.07
"São José do Campestre", 6438.46
"São José do Seridó", 12553.69
"São Miguel", 8280.24
"São Miguel do Gostoso", 16542.52
"São Paulo do Potengi", 8180.53
"São Pedro", 8409.84
"São Rafael", 7915.95
"São Tomé", 7204.75
"São Vicente", 8189.64
"Senador Elói de Souza", 6335.63
"Senador Georgino Avelino", 20969.66
"Serra de São Bento", 6311.56
"Serra do Mel", 9217.11
"Serra Negra do Norte", 8634.01
"Serrinha", 7819.60
"Serrinha dos Pintos", 7118.03
"Severiano Melo", 9878.48
"Sítio Novo", 6504.97
"Taboleiro Grande", 8404.01
"Taipu", 8008.48
"Tangará", 7603.83
"Tenente Ananias", 7094.78
"Tenente Laurentino Cruz", 7430.38
"Tibau do Sul", 19930.00
"Timbaúba dos Batistas", 11586.50
"Touros", 11937.08
"Triunfo Potiguar", 11497.92
"Umarizal", 10197.78
"Upanema", 9810.60
"Várzea", 6725.47
"Venha-Ver", 7407.97
"Vera Cruz", 7738.55
"Viçosa", 8656.37
"Vila Flor", 10364.46
