"Local", "Taxa de escolarização de 6 a 14 anos de idade"
"Acari", 97.6
"Açu", 97.6
"Afonso Bezerra", 98.8
"Água Nova", 99.2
"Alexandria", 97.5
"Almino Afonso", 95.5
"Alto do Rodrigues", 97.3
"Angicos", 96.5
"Antônio Martins", 98
"Apodi", 97.2
"Areia Branca", 99.3
"Arês", 97.8
"Augusto Severo", 98
"Baía Formosa", 98.1
"Baraúna", 96.9
"Barcelona", 98.6
"Bento Fernandes", 98.5
"Bodó", 98.3
"Bom Jesus", 99.2
"Brejinho", 95.3
"Caiçara do Norte", 97.3
"Caiçara do Rio do Vento", 96.3
"Caicó", 97.3
"Campo Redondo", 96.1
"Canguaretama", 97.6
"Caraúbas", 98.7
"Carnaúba dos Dantas", 97.8
"Carnaubais", 97.5
"Ceará-Mirim", 95.5
"Cerro Corá", 98.1
"Coronel Ezequiel", 99
"Coronel João Pessoa", 96
"Cruzeta", 99.3
"Currais Novos", 97.8
"Doutor Severiano", 97.6
"Parnamirim", 97.9
"Encanto", 97.5
"Equador", 98.9
"Espírito Santo", 95.5
"Extremoz", 96.6
"Felipe Guerra", 99.2
"Fernando Pedroza", 95.3
"Florânia", 97.7
"Francisco Dantas", 97.8
"Frutuoso Gomes", 98.3
"Galinhos", 99.5
"Goianinha", 98.1
"Governador Dix-Sept Rosado", 96.7
"Grossos", 97.8
"Guamaré", 96.8
"Ielmo Marinho", 95.8
"Ipanguaçu", 97.6
"Ipueira", 98.1
"Itajá", 98
"Itaú", 98.4
"Jaçanã", 98.6
"Jandaíra", 98.3
"Janduís", 97.4
"Januário Cicco", 96.4
"Japi", 97.8
"Jardim de Angicos", 97.1
"Jardim de Piranhas", 96.5
"Jardim do Seridó", 99.6
"João Câmara", 97.8
"João Dias", 87.8
"José da Penha", 98.3
"Jucurutu", 98.5
"Jundiá", 97
"Lagoa d'Anta", 95.7
"Lagoa de Pedras", 98.8
"Lagoa de Velhos", 97.5
"Lagoa Nova", 95.5
"Lagoa Salgada", 96
"Lajes", 99
"Lajes Pintadas", 95.9
"Lucrécia", 99.5
"Luís Gomes", 99.4
"Macaíba", 97.6
"Macau", 97.7
"Major Sales", 99.5
"Marcelino Vieira", 97.3
"Martins", 98.9
"Maxaranguape", 98
"Messias Targino", 97
"Montanhas", 94.6
"Monte Alegre", 98.6
"Monte das Gameleiras", 98.2
"Mossoró", 97.7
"Natal", 96.3
"Nísia Floresta", 97.6
"Nova Cruz", 98.2
"Olho d'Água do Borges", 98.4
"Ouro Branco", 96.9
"Paraná", 98.9
"Paraú", 98.4
"Parazinho", 98.7
"Parelhas", 98.3
"Rio do Fogo", 98.8
"Passa e Fica", 97
"Passagem", 98.2
"Patu", 96.8
"Santa Maria", 97.7
"Pau dos Ferros", 95.5
"Pedra Grande", 97.1
"Pedra Preta", 98.5
"Pedro Avelino", 98.8
"Pedro Velho", 98.8
"Pendências", 97.7
"Pilões", 97.9
"Poço Branco", 95
"Portalegre", 98.5
"Porto do Mangue", 97.2
"Serra Caiada", 95.4
"Pureza", 99.1
"Rafael Fernandes", 96.3
"Rafael Godeiro", 100
"Riacho da Cruz", 98.8
"Riacho de Santana", 99.7
"Riachuelo", 96.8
"Rodolfo Fernandes", 99
"Tibau", 97.8
"Ruy Barbosa", 98.7
"Santa Cruz", 95.7
"Santana do Matos", 97.6
"Santana do Seridó", 99.2
"Santo Antônio", 97.9
"São Bento do Norte", 98.7
"São Bento do Trairí", 92.9
"São Fernando", 96.8
"São Francisco do Oeste", 96.6
"São Gonçalo do Amarante", 95.8
"São João do Sabugi", 96.9
"São José de Mipibu", 96.3
"São José do Campestre", 96.9
"São José do Seridó", 97.1
"São Miguel", 96.6
"São Miguel do Gostoso", 98.7
"São Paulo do Potengi", 97.9
"São Pedro", 97.7
"São Rafael", 98.2
"São Tomé", 97.2
"São Vicente", 92.5
"Senador Elói de Souza", 97.7
"Senador Georgino Avelino", 97.1
"Serra de São Bento", 97.5
"Serra do Mel", 97.8
"Serra Negra do Norte", 95.5
"Serrinha", 99
"Serrinha dos Pintos", 96.1
"Severiano Melo", 97.1
"Sítio Novo", 99.4
"Taboleiro Grande", 95.8
"Taipu", 95.5
"Tangará", 98.1
"Tenente Ananias", 95.1
"Tenente Laurentino Cruz", 98.1
"Tibau do Sul", 95.7
"Timbaúba dos Batistas", 99.3
"Touros", 99.2
"Triunfo Potiguar", 97.8
"Umarizal", 97.3
"Upanema", 98
"Várzea", 97.8
"Venha-Ver", 98.8
"Vera Cruz", 97.8
"Viçosa", 99.2
"Vila Flor", 99
