"Local", "undefined"
"Acari", 0.679
"Açu", 0.661
"Afonso Bezerra", 0.585
"Água Nova", 0.616
"Alexandria", 0.606
"Almino Afonso", 0.624
"Alto do Rodrigues", 0.672
"Angicos", 0.624
"Antônio Martins", 0.578
"Apodi", 0.639
"Areia Branca", 0.682
"Arês", 0.606
"Augusto Severo", 0.621
"Baía Formosa", 0.609
"Baraúna", 0.574
"Barcelona", 0.566
"Bento Fernandes", 0.582
"Bodó", 0.629
"Bom Jesus", 0.584
"Brejinho", 0.592
"Caiçara do Norte", 0.574
"Caiçara do Rio do Vento", 0.587
"Caicó", 0.710
"Campo Redondo", 0.626
"Canguaretama", 0.579
"Caraúbas", 0.638
"Carnaúba dos Dantas", 0.659
"Carnaubais", 0.589
"Ceará-Mirim", 0.616
"Cerro Corá", 0.607
"Coronel Ezequiel", 0.587
"Coronel João Pessoa", 0.578
"Cruzeta", 0.654
"Currais Novos", 0.691
"Doutor Severiano", 0.621
"Parnamirim", 0.766
"Encanto", 0.629
"Equador", 0.623
"Espírito Santo", 0.558
"Extremoz", 0.660
"Felipe Guerra", 0.636
"Fernando Pedroza", 0.597
"Florânia", 0.642
"Francisco Dantas", 0.606
"Frutuoso Gomes", 0.597
"Galinhos", 0.564
"Goianinha", 0.638
"Governador Dix-Sept Rosado", 0.592
"Grossos", 0.664
"Guamaré", 0.626
"Ielmo Marinho", 0.550
"Ipanguaçu", 0.603
"Ipueira", 0.679
"Itajá", 0.624
"Itaú", 0.614
"Jaçanã", 0.604
"Jandaíra", 0.569
"Janduís", 0.615
"Januário Cicco", 0.574
"Japi", 0.569
"Jardim de Angicos", 0.565
"Jardim de Piranhas", 0.603
"Jardim do Seridó", 0.663
"João Câmara", 0.595
"João Dias", 0.530
"José da Penha", 0.608
"Jucurutu", 0.601
"Jundiá", 0.595
"Lagoa d'Anta", 0.601
"Lagoa de Pedras", 0.553
"Lagoa de Velhos", 0.589
"Lagoa Nova", 0.585
"Lagoa Salgada", 0.582
"Lajes", 0.624
"Lajes Pintadas", 0.625
"Lucrécia", 0.646
"Luís Gomes", 0.608
"Macaíba", 0.640
"Macau", 0.665
"Major Sales", 0.617
"Marcelino Vieira", 0.609
"Martins", 0.622
"Maxaranguape", 0.608
"Messias Targino", 0.644
"Montanhas", 0.557
"Monte Alegre", 0.609
"Monte das Gameleiras", 0.598
"Mossoró", 0.720
"Natal", 0.763
"Nísia Floresta", 0.622
"Nova Cruz", 0.629
"Olho d'Água do Borges", 0.585
"Ouro Branco", 0.645
"Paraná", 0.589
"Paraú", 0.603
"Parazinho", 0.549
"Parelhas", 0.676
"Rio do Fogo", 0.569
"Passa e Fica", 0.606
"Passagem", 0.589
"Patu", 0.618
"Santa Maria", 0.590
"Pau dos Ferros", 0.678
"Pedra Grande", 0.559
"Pedra Preta", 0.558
"Pedro Avelino", 0.583
"Pedro Velho", 0.568
"Pendências", 0.631
"Pilões", 0.614
"Poço Branco", 0.587
"Portalegre", 0.621
"Porto do Mangue", 0.590
"Serra Caiada", 0.563
"Pureza", 0.567
"Rafael Fernandes", 0.608
"Rafael Godeiro", 0.654
"Riacho da Cruz", 0.584
"Riacho de Santana", 0.591
"Riachuelo", 0.592
"Rodolfo Fernandes", 0.604
"Tibau", 0.635
"Ruy Barbosa", 0.605
"Santa Cruz", 0.635
"Santana do Matos", 0.591
"Santana do Seridó", 0.642
"Santo Antônio", 0.620
"São Bento do Norte", 0.555
"São Bento do Trairí", 0.595
"São Fernando", 0.608
"São Francisco do Oeste", 0.628
"São Gonçalo do Amarante", 0.661
"São João do Sabugi", 0.655
"São José de Mipibu", 0.611
"São José do Campestre", 0.615
"São José do Seridó", 0.694
"São Miguel", 0.606
"São Miguel do Gostoso", 0.591
"São Paulo do Potengi", 0.622
"São Pedro", 0.589
"São Rafael", 0.611
"São Tomé", 0.585
"São Vicente", 0.642
"Senador Elói de Souza", 0.583
"Senador Georgino Avelino", 0.570
"Serra de São Bento", 0.582
"Serra do Mel", 0.614
"Serra Negra do Norte", 0.597
"Serrinha", 0.592
"Serrinha dos Pintos", 0.598
"Severiano Melo", 0.604
"Sítio Novo", 0.572
"Taboleiro Grande", 0.612
"Taipu", 0.569
"Tangará", 0.608
"Tenente Ananias", 0.592
"Tenente Laurentino Cruz", 0.623
"Tibau do Sul", 0.645
"Timbaúba dos Batistas", 0.640
"Touros", 0.572
"Triunfo Potiguar", 0.602
"Umarizal", 0.618
"Upanema", 0.596
"Várzea", 0.626
"Venha-Ver", 0.555
"Vera Cruz", 0.587
"Viçosa", 0.592
"Vila Flor", 0.576
